ID,Magic,ProblemNo,AnswerNumber,Choice1,Choice2,Choice3,Choice4,Level,Type
00,1,01,2,2,3,4,5,1,0
01,1,02,4,3,4,5,6,2,0
02,1,03,3,8,10,12,18,3,0
03,1,04,2,2,3,4,5,4,0
04,1,05,3,가,다,라,마,5,0
05,1,06,2,25,125,156,625,6,0
06,2,01,4,1,3,4,5,1,1
07,2,02,3,5,8,13,18,2,1
08,2,03,2,132,142,152,162,3,1
09,2,04,2,42,49,56,77,4,1
10,2,05,4,1316,1326,1416,1426,5,1
11,2,06,3,53,63,962,1025,6,1
12,2,07,1,24,25,26,34,7,1
13,2,08,4,5.084,8.134,11.184,14.234,8,1
14,2,09,3,4/10,4/12,11/12,5/6,9,1
15,2,10,1,40,48,56,64,10,1
16,2,11,3,1.917,19.17,85.2,852,11,1
17,2,12,2,6/7,9/4,21/32,16/49,12,1
